donor_id	condition	n_cells	state	composition	mean_entropy	plasticity_index
Human1	normal	80	resident	0.0557990137563124	1.11509788878814	1.11509788878814
Human1	normal	80	inflammatory	0.0392805517298411	1.11509788878814	1.11509788878814
Human1	normal	80	myofibroblast	0.20461210934867	1.11509788878814	1.11509788878814
Human1	normal	80	ECM-remodeling	0.549504803581704	1.11509788878814	1.11509788878814
Human1	normal	80	antigen-presenting	0.0474409326211532	1.11509788878814	1.11509788878814
Human1	normal	80	IFN-stress	0.103362588962319	1.11509788878814	1.11509788878814
Human1	disease	160	resident	0.153942947548348	1.17798941094859	1.17798941094859
Human1	disease	160	inflammatory	0.105664471681999	1.17798941094859	1.17798941094859
Human1	disease	160	myofibroblast	0.184975302401033	1.17798941094859	1.17798941094859
Human1	disease	160	ECM-remodeling	0.376574702125135	1.17798941094859	1.17798941094859
Human1	disease	160	antigen-presenting	0.0858385653699708	1.17798941094859	1.17798941094859
Human1	disease	160	IFN-stress	0.0930040108735137	1.17798941094859	1.17798941094859
Human2	normal	80	resident	0.0537103081073656	0.925769044497317	0.925769044497317
Human2	normal	80	inflammatory	0.0317721757982324	0.925769044497317	0.925769044497317
Human2	normal	80	myofibroblast	0.253656849028838	0.925769044497317	0.925769044497317
Human2	normal	80	ECM-remodeling	0.514650410339816	0.925769044497317	0.925769044497317
Human2	normal	80	antigen-presenting	0.0639911572824126	0.925769044497317	0.925769044497317
Human2	normal	80	IFN-stress	0.0822190994433356	0.925769044497317	0.925769044497317
Human2	disease	240	resident	0.135488584565105	0.99074058289723	0.99074058289723
Human2	disease	240	inflammatory	0.0725518752090979	0.99074058289723	0.99074058289723
Human2	disease	240	myofibroblast	0.214822602093651	0.99074058289723	0.99074058289723
Human2	disease	240	ECM-remodeling	0.405532912563785	0.99074058289723	0.99074058289723
Human2	disease	240	antigen-presenting	0.134545203412492	0.99074058289723	0.99074058289723
Human2	disease	240	IFN-stress	0.0370588221558677	0.99074058289723	0.99074058289723
Human3	hash_unknown	320	resident	0.160206101113632	1.05930241099941	1.05930241099941
Human3	hash_unknown	320	inflammatory	0.0727272763146483	1.05930241099941	1.05930241099941
Human3	hash_unknown	320	myofibroblast	0.234401145499819	1.05930241099941	1.05930241099941
Human3	hash_unknown	320	ECM-remodeling	0.403041257795041	1.05930241099941	1.05930241099941
Human3	hash_unknown	320	antigen-presenting	0.0876097187218861	1.05930241099941	1.05930241099941
Human3	hash_unknown	320	IFN-stress	0.0420145005549744	1.05930241099941	1.05930241099941
