sample_id	state	mean	sd	lower	upper
Donor001	resident	0.156437471673266	0.0287126688116392	0.119298641365394	0.189343620203509
Donor001	inflammatory	0.184272572563947	0.0344437284558143	0.146613814965394	0.233577189786859
Donor001	myofibroblast	0.117679339702278	0.0219027357602425	0.094733805408378	0.152087038649108
Donor001	ECM-remodeling	0.235047734013263	0.0232624852889167	0.201325188190485	0.262433798155619
Donor001	antigen-presenting	0.133763599255008	0.0262768018089472	0.0991771989857295	0.16502961522034
Donor001	IFN-stress	0.172799282792239	0.0553969165336147	0.107283621045565	0.256145744144914
Donor002	resident	0.214936913583748	0.0419910183673447	0.152206171162063	0.26259668447123
Donor002	inflammatory	0.178694617232394	0.0183548866733651	0.15078193581857	0.194417274096356
Donor002	myofibroblast	0.18174964651386	0.0162828892725131	0.153696482102408	0.192989223358193
Donor002	ECM-remodeling	0.126106139241405	0.0270187819845078	0.0873180912790407	0.159132687303413
Donor002	antigen-presenting	0.15822052827117	0.053507573658955	0.090556605142	0.226627169637814
Donor002	IFN-stress	0.140292155157422	0.0462213291988772	0.086405563249436	0.20772656154895
Donor003	resident	0.0706709740461256	0.010385434339928	0.0557172948584475	0.0804963372367332
Donor003	inflammatory	0.216222098586904	0.0375458963870349	0.170725547693825	0.266707679658616
Donor003	myofibroblast	0.226707839651763	0.0432894004822819	0.183947956743108	0.293964322736803
Donor003	ECM-remodeling	0.20021343906596	0.0446397748746671	0.15400157166755	0.255965354788588
Donor003	antigen-presenting	0.125025323080164	0.0111044271883261	0.112704961502206	0.139858421740381
Donor003	IFN-stress	0.161160325569084	0.0184826490101246	0.133677308820834	0.1831764553271
Donor004	resident	0.118441869573497	0.0308032697357996	0.0820904613915757	0.162447878667375
Donor004	inflammatory	0.261461050443886	0.0472826349133395	0.204130338304421	0.329441214159863
Donor004	myofibroblast	0.230020340862639	0.0531689587665405	0.160637772546555	0.275008345163677
Donor004	ECM-remodeling	0.214536853955581	0.055678033136704	0.140731969875608	0.290359816221045
Donor004	antigen-presenting	0.0547859336836644	0.00739531967232576	0.0458660466603926	0.0651653666580237
Donor004	IFN-stress	0.120753951480733	0.0307527924928521	0.0805926059296643	0.160623879839753
